Artist,Album,Year,Title,pageviews,UniqueWords,WordTotal,LineTotal,1PTotal,2PTotal,3PTotal,P12Total,PTotal
Muse,The 2nd Law,2012,Supremacy,50367,56,82,24,3,8,0,11,11
Muse,The 2nd Law,2012,Madness,169833,109,213,56,25,9,0,34,34
Muse,The 2nd Law,2012,Panic Station,43533,117,226,37,3,20,0,23,23
Muse,The 2nd Law,2012,Survival,29143,72,169,44,26,7,0,33,33
Muse,The 2nd Law,2012,Follow Me,22894,88,167,31,22,24,2,46,48
Muse,The 2nd Law,2012,Animals,30371,66,87,21,3,7,0,10,10
Muse,The 2nd Law,2012,Explorers,27192,123,258,47,37,10,1,47,48
Muse,The 2nd Law,2012,Big Freeze,15247,128,217,31,28,12,0,40,40
Muse,The 2nd Law,2012,Save Me,13380,75,160,30,27,12,1,39,40
Muse,The 2nd Law,2012,Liquid State,14764,77,129,22,25,1,0,26,26
Muse,The 2nd Law,2012,The 2nd Law: Unsustainable,28156,101,138,39,0,4,0,4,4
Muse,The 2nd Law,2012,The 2nd Law: Isolated System,16310,38,77,19,0,0,0,0,0
Muse,Will of the People,2022,Will of the People,33599,92,503,73,22,11,0,33,33
Muse,Will of the People,2022,Compliance,32006,131,332,67,36,49,0,85,85
Muse,Will of the People,2022,Liberation,14418,106,200,34,21,30,1,51,52
Muse,Will of the People,2022,Won’t Stand Down,70069,119,318,56,49,26,0,75,75
Muse,Will of the People,2022,Ghosts (How Can I Move On),30284,113,267,45,42,12,1,54,55
Muse,Will of the People,2022,You Make Me Feel Like It’s Halloween,24609,93,263,56,31,25,0,56,56
Muse,Will of the People,2022,Kill or Be Killed,29541,92,172,46,20,1,3,21,24
Muse,Will of the People,2022,Verona,25124,102,191,32,29,15,3,44,47
Muse,Will of the People,2022,Euphoria,13712,88,189,40,28,2,0,30,30
Muse,Will of the People,2022,We Are Fucking Fucked,39951,100,220,59,22,7,0,29,29
Muse,Showbiz,1999,Sunburn,43157,67,127,33,12,2,0,14,14
Muse,Showbiz,1999,Muscle Museum,50230,98,193,37,16,20,0,36,36
Muse,Showbiz,1999,Fillip,12967,65,152,35,16,7,0,23,23
Muse,Showbiz,1999,Falling Down,16430,89,177,34,17,16,1,33,34
Muse,Showbiz,1999,Cave,14660,63,152,25,17,15,0,32,32
Muse,Showbiz,1999,Showbiz,32017,58,206,47,30,15,8,45,53
Muse,Showbiz,1999,Unintended,72147,55,147,26,22,7,0,29,29
Muse,Showbiz,1999,Uno,15372,54,186,34,9,24,0,33,33
Muse,Showbiz,1999,Sober,12476,67,176,46,16,18,0,34,34
Muse,Showbiz,1999,Escape,12978,79,148,29,17,16,0,33,33
Muse,Showbiz,1999,Overdue,7150,56,155,32,21,19,0,40,40
Muse,Showbiz,1999,Hate This & I’ll Love You,15144,68,107,30,15,10,0,25,25
Muse,Showbiz,1999,Spiral Static,8135,60,91,23,2,11,0,13,13
Muse,Showbiz,1999,Recess,5550,57,104,27,11,5,0,16,16
Muse,Showbiz,1999,Yes Please,5491,69,110,23,14,5,0,19,19
Muse,The Resistance,2009,Uprising,239568,111,226,48,19,5,11,24,35
Muse,The Resistance,2009,Resistance,104577,132,335,51,27,4,5,31,36
Muse,The Resistance,2009,Undisclosed Desires,79433,75,203,30,24,25,0,49,49
Muse,The Resistance,2009,United States of Eurasia (+Collateral Damage),29958,96,174,31,13,4,7,17,24
Muse,The Resistance,2009,Guiding Light,17265,70,119,25,11,8,1,19,20
